id,strike,direction,price,volume
0,60000,0,1.0000,3982231
1,70000,0,1.0000,3028857
2,80000,0,1.0000,2080616
3,75000,0,1.0000,474776.9
4,65000,0,1.0000,1755833
5,60000,0,0.3150,1741088
6,75000,1,0.1500,2475835
7,55000,0,0.1060,3711547
8,50000,0,0.0425,3602252
9,80000,1,0.0405,1923998
10,45000,0,0.0220,2670881
11,85000,1,0.0195,5299444
12,40000,0,0.0140,2064978
13,90000,1,0.0135,3947656
14,35000,0,0.0075,3387784
15,95000,1,0.0055,2848106
16,100000,1,0.0045,2795350
17,105000,1,0.0035,2005255
18,115000,1,0.0025,2834115
19,110000,1,0.0025,1788389
20,150000,1,0.0015,20414060
21,120000,1,0.0015,2478330
22,125000,1,0.0015,3163158